destinationIndex,originIndex,totalWalkDuration,travelDistance,travelDuration,source,target,weight
9,3,0,435.046,311.75,Cikampek,Magelang,435.046
10,3,0,480.901,379.733,Cikampek,Yogyakarta,480.901
11,3,0,667.76,475.3,Cikampek,Tulungagung,667.76
12,3,0,647.337,447.4,Cikampek,Kediri,647.337
13,3,0,778.6,483.383,Cikampek,Malang,778.6
14,3,0,461.779,301.833,Cikampek,Surakarta,461.779
15,3,0,708.229,441.9,Cikampek,Surabaya,708.229
0,4,0,228.749,172.033,Cirebon,Jakarta,228.749
1,4,0,255.322,188.45,Cirebon,Bogor,255.322
2,4,0,217.955,160.617,Cirebon,Bandung,217.955
3,4,0,151.032,122.617,Cirebon,Cikampek,151.032
4,4,0,0.0,0.0,Cirebon,Cirebon,0.0
5,4,0,122.496,177.7,Cirebon,Tasikmalaya,122.496
6,4,0,74.711,63.333,Cirebon,Tegal,74.711
7,4,0,143.312,179.433,Cirebon,Purwokerto,143.312
8,4,0,223.449,147.983,Cirebon,Semarang,223.449
9,4,0,294.122,216.383,Cirebon,Magelang,294.122
10,4,0,339.977,284.367,Cirebon,Yogyakarta,339.977
11,4,0,526.836,379.933,Cirebon,Tulungagung,526.836
12,4,0,506.413,352.033,Cirebon,Kediri,506.413
13,4,0,637.676,388.017,Cirebon,Malang,637.676
14,4,0,320.855,206.467,Cirebon,Surakarta,320.855
15,4,0,567.305,346.533,Cirebon,Surabaya,567.305
0,5,0,260.895,253.683,Tasikmalaya,Jakarta,260.895
1,5,0,287.468,270.1,Tasikmalaya,Bogor,287.468
2,5,0,106.461,158.967,Tasikmalaya,Bandung,106.461
3,5,0,193.45,211.25,Tasikmalaya,Cikampek,193.45
4,5,0,120.242,179.317,Tasikmalaya,Cirebon,120.242
5,5,0,0.0,0.0,Tasikmalaya,Tasikmalaya,0.0
6,5,0,189.654,224.667,Tasikmalaya,Tegal,189.654
7,5,0,152.533,198.767,Tasikmalaya,Purwokerto,152.533
8,5,0,338.392,309.3,Tasikmalaya,Semarang,338.392
9,5,0,282.482,353.517,Tasikmalaya,Magelang,282.482
10,5,0,297.576,368.15,Tasikmalaya,Yogyakarta,297.576
11,5,0,641.779,541.25,Tasikmalaya,Tulungagung,641.779
12,5,0,621.356,513.35,Tasikmalaya,Kediri,621.356
13,5,0,752.619,549.333,Tasikmalaya,Malang,752.619
14,5,0,435.798,367.783,Tasikmalaya,Surakarta,435.798
15,5,0,682.248,507.867,Tasikmalaya,Surabaya,682.248
0,6,0,295.22,210.683,Tegal,Jakarta,295.22
1,6,0,321.793,227.083,Tegal,Bogor,321.793
2,6,0,284.426,199.25,Tegal,Bandung,284.426
3,6,0,217.503,161.25,Tegal,Cikampek,217.503
4,6,0,75.714,62.517,Tegal,Cirebon,75.714
5,6,0,190.052,218.933,Tegal,Tasikmalaya,190.052
6,6,0,0.0,0.0,Tegal,Tegal,0.0
7,6,0,106.308,154.817,Tegal,Purwokerto,106.308
8,6,0,157.233,112.333,Tegal,Semarang,157.233
9,6,0,227.906,180.733,Tegal,Magelang,227.906
10,6,0,273.761,248.717,Tegal,Yogyakarta,273.761
11,6,0,460.62,344.283,Tegal,Tulungagung,460.62
12,6,0,440.197,316.383,Tegal,Kediri,440.197
13,6,0,571.46,352.367,Tegal,Malang,571.46
14,6,0,254.639,170.817,Tegal,Surakarta,254.639
15,6,0,501.089,310.9,Tegal,Surabaya,501.089
0,7,0,364.029,327.967,Purwokerto,Jakarta,364.029
1,7,0,390.602,344.383,Purwokerto,Bogor,390.602
2,7,0,353.235,316.55,Purwokerto,Bandung,353.235
3,7,0,286.312,278.55,Purwokerto,Cikampek,286.312
4,7,0,144.523,179.817,Purwokerto,Cirebon,144.523
5,7,0,153.068,201.433,Purwokerto,Tasikmalaya,153.068
6,7,0,106.326,155.3,Purwokerto,Tegal,106.326
7,7,0,0.0,0.0,Purwokerto,Purwokerto,0.0
8,7,0,212.767,215.667,Purwokerto,Semarang,212.767
9,7,0,158.206,211.55,Purwokerto,Magelang,158.206
10,7,0,175.001,226.167,Purwokerto,Yogyakarta,175.001
11,7,0,516.154,447.633,Purwokerto,Tulungagung,516.154
12,7,0,495.731,419.733,Purwokerto,Kediri,495.731
13,7,0,626.994,455.717,Purwokerto,Malang,626.994
14,7,0,310.173,274.167,Purwokerto,Surakarta,310.173
15,7,0,556.623,414.233,Purwokerto,Surabaya,556.623
0,8,0,443.106,294.317,Semarang,Jakarta,443.106
1,8,0,469.679,310.733,Semarang,Bogor,469.679
2,8,0,432.312,282.883,Semarang,Bandung,432.312
3,8,0,365.389,244.883,Semarang,Cikampek,365.389
4,8,0,223.6,146.15,Semarang,Cirebon,223.6
5,8,0,337.938,302.567,Semarang,Tasikmalaya,337.938
6,8,0,156.411,110.0,Semarang,Tegal,156.411
7,8,0,212.067,212.5,Semarang,Purwokerto,212.067
8,8,0,0.0,0.0,Semarang,Semarang,0.0
9,8,0,78.229,93.333,Semarang,Magelang,78.229
10,8,0,124.084,161.317,Semarang,Yogyakarta,124.084
11,8,0,310.943,256.883,Semarang,Tulungagung,310.943
12,8,0,290.52,228.983,Semarang,Kediri,290.52
13,8,0,421.783,264.967,Semarang,Malang,421.783
14,8,0,104.962,83.417,Semarang,Surakarta,104.962
15,8,0,351.412,223.483,Semarang,Surabaya,351.412
0,9,0,513.372,367.267,Magelang,Jakarta,513.372
1,9,0,539.945,383.683,Magelang,Bogor,539.945
2,9,0,502.578,355.85,Magelang,Bandung,502.578
3,9,0,435.655,317.85,Magelang,Cikampek,435.655
4,9,0,293.866,219.117,Magelang,Cirebon,293.866
5,9,0,282.132,354.85,Magelang,Tasikmalaya,282.132
6,9,0,226.677,182.95,Magelang,Tegal,226.677
7,9,0,156.893,205.55,Magelang,Purwokerto,156.893
8,9,0,76.885,94.883,Magelang,Semarang,76.885
9,9,0,0.0,0.0,Magelang,Magelang,0.0
10,9,0,45.854,67.983,Magelang,Yogyakarta,45.854
11,9,0,319.176,285.667,Magelang,Tulungagung,319.176
12,9,0,298.753,257.767,Magelang,Kediri,298.753
13,9,0,430.016,293.75,Magelang,Malang,430.016
14,9,0,113.195,112.2,Magelang,Surakarta,113.195
15,9,0,359.645,252.267,Magelang,Surabaya,359.645
0,10,0,580.99,427.583,Yogyakarta,Jakarta,580.99
1,10,0,607.563,444.0,Yogyakarta,Bogor,607.563
2,10,0,570.196,416.167,Yogyakarta,Bandung,570.196
3,10,0,503.273,378.167,Yogyakarta,Cikampek,503.273
4,10,0,361.484,279.433,Yogyakarta,Cirebon,361.484
5,10,0,296.306,370.7,Yogyakarta,Tasikmalaya,296.306
6,10,0,294.295,243.267,Yogyakarta,Tegal,294.295
7,10,0,173.246,225.4,Yogyakarta,Purwokerto,173.246
8,10,0,144.503,155.2,Yogyakarta,Semarang,144.503
9,10,0,46.858,75.1,Yogyakarta,Magelang,46.858
10,10,0,0.0,0.0,Yogyakarta,Yogyakarta,0.0
11,10,0,285.345,287.9,Yogyakarta,Tulungagung,285.345
12,10,0,264.922,259.983,Yogyakarta,Kediri,264.922
13,10,0,396.185,295.983,Yogyakarta,Malang,396.185
14,10,0,66.342,106.533,Yogyakarta,Surakarta,66.342
15,10,0,325.814,254.5,Yogyakarta,Surabaya,325.814
0,11,0,742.183,524.7,Tulungagung,Jakarta,742.183
1,11,0,768.756,541.117,Tulungagung,Bogor,768.756
2,11,0,731.389,513.283,Tulungagung,Bandung,731.389
3,11,0,664.466,475.283,Tulungagung,Cikampek,664.466
4,11,0,522.677,376.55,Tulungagung,Cirebon,522.677
5,11,0,637.015,532.95,Tulungagung,Tasikmalaya,637.015
6,11,0,455.488,340.383,Tulungagung,Tegal,455.488
7,11,0,448.593,450.6,Tulungagung,Purwokerto,448.593
8,11,0,305.696,252.317,Tulungagung,Semarang,305.696
9,11,0,314.508,279.033,Tulungagung,Magelang,314.508
10,11,0,281.753,287.333,Tulungagung,Yogyakarta,281.753
11,11,0,0.0,0.0,Tulungagung,Tulungagung,0.0
12,11,0,43.623,74.317,Tulungagung,Kediri,43.623
13,11,0,107.467,157.417,Tulungagung,Malang,107.467
14,11,0,213.07,196.217,Tulungagung,Surakarta,213.07
15,11,0,150.183,162.7,Tulungagung,Surabaya,150.183
0,12,0,723.159,499.95,Kediri,Jakarta,723.159
1,12,0,749.732,516.367,Kediri,Bogor,749.732
2,12,0,712.365,488.533,Kediri,Bandung,712.365
3,12,0,645.442,450.533,Kediri,Cikampek,645.442
4,12,0,503.653,351.8,Kediri,Cirebon,503.653
5,12,0,617.991,508.217,Kediri,Tasikmalaya,617.991
6,12,0,436.464,315.65,Kediri,Tegal,436.464
7,12,0,429.569,425.85,Kediri,Purwokerto,429.569
8,12,0,286.672,227.567,Kediri,Semarang,286.672
9,12,0,295.484,254.3,Kediri,Magelang,295.484
10,12,0,262.729,262.583,Kediri,Yogyakarta,262.729
11,12,0,44.997,78.517,Kediri,Tulungagung,44.997
12,12,0,0.0,0.0,Kediri,Kediri,0.0
13,12,0,116.338,192.033,Kediri,Malang,116.338
14,12,0,194.046,171.483,Kediri,Surakarta,194.046
15,12,0,132.433,141.65,Kediri,Surabaya,132.433
0,13,0,858.68,537.417,Malang,Jakarta,858.68
1,13,0,885.253,553.833,Malang,Bogor,885.253
2,13,0,847.886,525.983,Malang,Bandung,847.886
3,13,0,780.963,487.983,Malang,Cikampek,780.963
4,13,0,639.174,389.25,Malang,Cirebon,639.174
5,13,0,753.512,545.667,Malang,Tasikmalaya,753.512
6,13,0,571.985,353.1,Malang,Tegal,571.985
7,13,0,565.09,463.3,Malang,Purwokerto,565.09
8,13,0,422.193,265.017,Malang,Semarang,422.193
9,13,0,431.005,291.75,Malang,Magelang,431.005
10,13,0,398.25,300.05,Malang,Yogyakarta,398.25
11,13,0,111.949,156.783,Malang,Tulungagung,111.949
12,13,0,117.126,192.417,Malang,Kediri,117.126
13,13,0,0.0,0.0,Malang,Malang,0.0
14,13,0,329.567,208.933,Malang,Surakarta,329.567
15,13,0,105.567,87.717,Malang,Surabaya,105.567
0,14,0,539.205,353.217,Surakarta,Jakarta,539.205
1,14,0,565.778,369.633,Surakarta,Bogor,565.778
2,14,0,528.411,341.8,Surakarta,Bandung,528.411
3,14,0,461.488,303.8,Surakarta,Cikampek,461.488
4,14,0,319.699,205.067,Surakarta,Cirebon,319.699
5,14,0,434.037,361.467,Surakarta,Tasikmalaya,434.037
6,14,0,252.51,168.9,Surakarta,Tegal,252.51
7,14,0,245.615,279.117,Surakarta,Purwokerto,245.615
8,14,0,102.718,80.833,Surakarta,Semarang,102.718
9,14,0,111.53,107.55,Surakarta,Magelang,111.53
10,14,0,65.742,107.45,Surakarta,Yogyakarta,65.742
11,14,0,215.3,197.333,Surakarta,Tulungagung,215.3
12,14,0,194.877,169.433,Surakarta,Kediri,194.877
13,14,0,326.14,205.417,Surakarta,Malang,326.14
14,14,0,0.0,0.0,Surakarta,Surakarta,0.0
15,14,0,255.769,163.95,Surakarta,Surabaya,255.769
0,15,0,786.213,497.35,Surabaya,Jakarta,786.213
1,15,0,812.786,513.767,Surabaya,Bogor,812.786
2,15,0,775.419,485.917,Surabaya,Bandung,775.419
3,15,0,708.496,447.917,Surabaya,Cikampek,708.496
4,15,0,566.707,349.183,Surabaya,Cirebon,566.707
5,15,0,681.045,505.6,Surabaya,Tasikmalaya,681.045
6,15,0,499.518,313.033,Surabaya,Tegal,499.518
7,15,0,492.623,423.233,Surabaya,Purwokerto,492.623
8,15,0,349.726,224.95,Surabaya,Semarang,349.726
9,15,0,358.538,251.683,Surabaya,Magelang,358.538
10,15,0,325.783,259.983,Surabaya,Yogyakarta,325.783
11,15,0,152.129,168.567,Surabaya,Tulungagung,152.129
12,15,0,132.561,143.5,Surabaya,Kediri,132.561
13,15,0,101.254,87.45,Surabaya,Malang,101.254
14,15,0,257.1,168.867,Surabaya,Surakarta,257.1
15,15,0,0.0,0.0,Surabaya,Surabaya,0.0
